source,target,kind,weight
2009:0,2010:0,continue,1.0000001
2009:0,2010:1,continue,0.6459111
2009:0,2010:2,continue,0.71216786
2009:0,2010:3,continue,0.92417604
2009:0,2010:4,continue,0.7870413
2009:0,2010:6,continue,0.7501972
2009:0,2010:8,continue,0.75975555
2009:0,2010:9,continue,0.88307893
2009:0,2010:10,continue,0.7292945
2009:0,2010:11,continue,0.8584626
2009:0,2010:15,continue,0.76169026
2009:0,2010:16,continue,0.82137156
2009:0,2010:17,continue,0.8266363
2009:0,2010:18,continue,0.73377573
2009:0,2010:23,continue,0.8206558
2009:0,2010:25,continue,0.7977531
2009:0,2010:26,continue,0.7394084
2009:0,2010:31,continue,0.7688589
2009:0,2010:33,continue,0.77019215
2009:0,2010:35,continue,0.6560001
2009:0,2010:38,continue,0.77066225
2009:0,2010:41,continue,0.76364136
2009:0,2010:43,continue,0.6404762
2009:0,2010:47,continue,0.6307673
2009:0,2010:51,continue,0.75316656
2009:1,2010:0,continue,0.6459111
2009:1,2010:1,continue,1.0000002
2009:1,2010:2,continue,0.6322063
2009:1,2010:8,continue,0.7144395
2009:1,2010:9,continue,0.67508453
2009:1,2010:17,continue,0.6665188
2009:1,2010:25,continue,0.6354205
2009:1,2010:31,continue,0.63695294
2009:1,2010:41,continue,0.63100374
2009:1,2010:51,continue,0.77263033
2009:2,2010:0,continue,0.71216786
2009:2,2010:1,continue,0.6322063
2009:2,2010:2,continue,1.0000001
2009:2,2010:4,continue,0.64754003
2009:2,2010:9,continue,0.6690158
2009:2,2010:16,continue,0.60853475
2009:2,2010:17,continue,0.62420124
2009:2,2010:41,continue,0.646245
2009:2,2010:51,continue,0.6116195
2009:3,2010:0,continue,0.92417604
2009:3,2010:3,continue,0.9999999
2009:3,2010:4,continue,0.6900102
2009:3,2010:6,continue,0.6682741
2009:3,2010:8,continue,0.68233997
2009:3,2010:9,continue,0.88619924
2009:3,2010:10,continue,0.64810133
2009:3,2010:11,continue,0.7344236
2009:3,2010:15,continue,0.72086704
2009:3,2010:16,continue,0.7288557
2009:3,2010:17,continue,0.74106824
2009:3,2010:18,continue,0.6774027
2009:3,2010:23,continue,0.70868313
2009:3,2010:25,continue,0.6847552
2009:3,2010:26,continue,0.60284364
2009:3,2010:31,continue,0.7441209
2009:3,2010:33,continue,0.6352906
2009:3,2010:38,continue,0.7311425
2009:3,2010:41,continue,0.71114784
2009:3,2010:51,continue,0.6427107
2009:4,2010:0,continue,0.7870413
2009:4,2010:2,continue,0.64754003
2009:4,2010:3,continue,0.6900102
2009:4,2010:4,continue,1.0000001
2009:4,2010:8,continue,0.6533116
2009:4,2010:9,continue,0.65456235
2009:4,2010:10,continue,0.6612499
2009:4,2010:11,continue,0.7292503
2009:4,2010:16,continue,0.7204834
2009:4,2010:17,continue,0.7370675
2009:4,2010:23,continue,0.6636461
2009:4,2010:25,continue,0.6109756
2009:4,2010:31,continue,0.6155958
2009:4,2010:33,continue,0.72208536
2009:4,2010:41,continue,0.6300492
2009:4,2010:51,continue,0.6562619
2009:14,2010:0,continue,0.78602767
2009:14,2010:1,continue,0.8354402
2009:14,2010:2,continue,0.69971573
2009:14,2010:3,continue,0.71957994
2009:14,2010:4,continue,0.6055579
2009:14,2010:8,continue,0.6192833
2009:14,2010:9,continue,0.89587975
2009:14,2010:10,continue,0.6492634
2009:14,2010:16,continue,0.6686592
2009:14,2010:17,continue,0.6467304
2009:14,2010:18,continue,0.68178535
2009:14,2010:25,continue,0.63033944
2009:14,2010:26,continue,0.63093245
2009:14,2010:31,continue,0.62744
2009:14,2010:41,continue,0.659598
2009:14,2010:51,continue,0.8510236
2009:15,2010:0,continue,0.76169026
2009:15,2010:3,continue,0.72086704
2009:15,2010:6,continue,0.9300592
2009:15,2010:9,continue,0.6774624
2009:15,2010:11,continue,0.61400765
2009:15,2010:15,continue,1.0
2009:15,2010:23,continue,0.8381567
2009:15,2010:38,continue,0.8845852
2009:15,2010:47,continue,0.7919555
2009:17,2010:0,continue,0.8266363
2009:17,2010:1,continue,0.6665188
2009:17,2010:2,continue,0.62420124
2009:17,2010:3,continue,0.74106824
2009:17,2010:4,continue,0.7370675
2009:17,2010:8,continue,0.72403866
2009:17,2010:9,continue,0.66025984
2009:17,2010:10,continue,0.6622262
2009:17,2010:11,continue,0.74614596
2009:17,2010:16,continue,0.7406211
2009:17,2010:17,continue,0.9999998
2009:17,2010:23,continue,0.63618255
2009:17,2010:25,continue,0.72232914
2009:17,2010:31,continue,0.7244426
2009:17,2010:33,continue,0.71785897
2009:17,2010:41,continue,0.721846
2009:17,2010:51,continue,0.6663569
2009:21,2010:0,continue,0.6877061
2009:21,2010:3,continue,0.6148343
2009:21,2010:6,continue,0.6030893
2009:21,2010:9,continue,0.70448965
2009:21,2010:10,continue,0.8837641
2009:21,2010:18,continue,0.722199
2009:21,2010:19,continue,0.6312703
2009:21,2010:26,continue,0.7875494
2009:21,2010:43,continue,0.7120775
2009:26,2010:0,continue,0.7394084
2009:26,2010:3,continue,0.60284364
2009:26,2010:6,continue,0.60378915
2009:26,2010:9,continue,0.6581207
2009:26,2010:10,continue,0.6228114
2009:26,2010:11,continue,0.6189015
2009:26,2010:16,continue,0.74096304
2009:26,2010:18,continue,0.6369659
2009:26,2010:19,continue,0.78952074
2009:26,2010:26,continue,0.9999999
2009:26,2010:33,continue,0.6431581
2009:26,2010:43,continue,0.68230796
2009:26,2010:47,continue,0.6957886
2009:26,2010:51,continue,0.6776176
2009:38,2010:0,continue,0.77066225
2009:38,2010:3,continue,0.7311425
2009:38,2010:6,continue,0.92760766
2009:38,2010:9,continue,0.7047286
2009:38,2010:11,continue,0.6098199
2009:38,2010:15,continue,0.8845852
2009:38,2010:23,continue,0.8152289
2009:38,2010:38,continue,0.9999999
2009:38,2010:47,continue,0.76340127
2009:40,2010:0,continue,0.8417454
2009:40,2010:3,continue,0.8095366
2009:40,2010:4,continue,0.69097763
2009:40,2010:8,continue,0.7215583
2009:40,2010:9,continue,0.6637547
2009:40,2010:10,continue,0.602395
2009:40,2010:11,continue,0.7436069
2009:40,2010:16,continue,0.6757757
2009:40,2010:17,continue,0.829654
2009:40,2010:23,continue,0.71547353
2009:40,2010:25,continue,0.67755723
2009:40,2010:31,continue,0.75444835
2009:40,2010:33,continue,0.668275
2009:40,2010:41,continue,0.6731941
2009:46,2010:0,continue,0.7541445
2009:46,2010:3,continue,0.7399198
2009:46,2010:6,continue,0.7944335
2009:46,2010:9,continue,0.73649013
2009:46,2010:10,continue,0.6175892
2009:46,2010:15,continue,0.7680556
2009:46,2010:18,continue,0.791721
2009:46,2010:23,continue,0.66204745
2009:46,2010:33,continue,0.60014606
2009:46,2010:38,continue,0.7987524
2009:46,2010:47,continue,0.7481967
2009:47,2010:0,continue,0.63076717
2009:47,2010:6,continue,0.8650576
2009:47,2010:9,continue,0.6023354
2009:47,2010:15,continue,0.79195553
2009:47,2010:19,continue,0.8630326
2009:47,2010:26,continue,0.6957886
2009:47,2010:38,continue,0.76340127
2009:47,2010:47,continue,0.99999994
2009:51,2010:0,continue,0.75316656
2009:51,2010:1,continue,0.77263033
2009:51,2010:2,continue,0.6116195
2009:51,2010:3,continue,0.6427107
2009:51,2010:4,continue,0.6562619
2009:51,2010:8,continue,0.65438515
2009:51,2010:9,continue,0.7388252
2009:51,2010:11,continue,0.6304842
