source,target,time_from,time_to,weight,kind,value,source_id,target_id
2:0,3:1,2,3,0.5457316756248474,continue,1,2:0,3:1
2:1,3:1,2,3,0.5583997735851689,continue,1,2:1,3:1
2:1,3:1,2,3,0.5583997735851689,merge,1,2:1,3:1
2:0,3:1,2,3,0.5457316756248474,merge,1,2:0,3:1
3:0,4:0,3,4,0.5731457071644919,continue,1,3:0,4:0
3:2,4:4,3,4,0.5726417491310521,continue,1,3:2,4:4
4:0,5:0,4,5,0.6269195744865819,continue,1,4:0,5:0
4:4,5:2,4,5,0.5967062661522313,continue,1,4:4,5:2
5:1,6:2,5,6,0.6619264423847199,continue,1,5:1,6:2
6:0,7:1,6,7,0.6122205088013096,continue,1,6:0,7:1
6:1,7:1,6,7,0.5756884889943259,continue,1,6:1,7:1
6:3,7:2,6,7,0.6312966227531432,continue,1,6:3,7:2
6:4,7:2,6,7,0.5428149044513702,continue,1,6:4,7:2
6:0,7:1,6,7,0.6122205088013096,merge,1,6:0,7:1
6:1,7:1,6,7,0.5756884889943259,merge,1,6:1,7:1
6:3,7:2,6,7,0.6312966227531432,merge,1,6:3,7:2
6:4,7:2,6,7,0.5428149044513702,merge,1,6:4,7:2
7:2,8:4,7,8,0.6525061368942261,continue,1,7:2,8:4
8:1,9:1,8,9,0.6074002325534821,continue,1,8:1,9:1
8:4,9:2,8,9,0.623639976978302,continue,1,8:4,9:2
8:5,9:3,8,9,0.6543105065822602,continue,1,8:5,9:3
9:2,10:4,9,10,0.6689702818268224,continue,1,9:2,10:4
9:3,10:1,9,10,0.6309407174587249,continue,1,9:3,10:1
10:3,11:3,10,11,0.6821819603443146,continue,1,10:3,11:3
11:1,12:6,11,12,0.7167054235935211,continue,1,11:1,12:6
12:6,13:0,12,13,0.6398512065410613,continue,1,12:6,13:0
