id,cluster_id
2009:0,2
2009:1,15
2009:2,0
2009:3,6
2009:4,0
2009:14,0
2009:15,29
2009:17,1
2009:21,0
2009:26,0
2009:38,8
2009:40,0
2009:46,1
2009:47,1
2009:51,10
2010:0,2
2010:1,57
2010:2,0
2010:3,6
2010:4,0
2010:6,0
2010:8,0
2010:9,3
2010:10,0
2010:11,0
2010:15,0
2010:16,0
2010:17,5
2010:18,1
2010:19,12
2010:23,0
2010:25,1
2010:26,16
2010:31,0
2010:33,4
2010:35,30
2010:38,8
2010:41,0
2010:43,0
2010:47,5
2010:51,56
2011:0,2
2011:1,34
2011:2,0
2011:3,6
2011:4,0
2011:5,0
2011:6,33
2011:7,7
2011:9,3
2011:10,0
2011:11,0
2011:12,0
2011:13,2
2011:14,0
2011:15,69
2011:16,0
2011:17,20
2011:19,0
2011:20,5
2011:21,3
2011:23,0
2011:26,0
2011:27,0
2011:28,0
2011:30,0
2011:31,0
2011:32,4
2011:33,32
2011:34,11
2011:35,45
2011:36,0
2011:40,0
2011:41,0
2011:49,74
2011:51,10
2012:0,2
2012:1,6
2012:2,0
2012:3,6
2012:4,0
2012:5,0
2012:7,0
2012:8,41
2012:9,3
2012:10,0
2012:11,0
2012:12,0
2012:13,2
2012:14,0
2012:15,31
2012:16,0
2012:17,78
2012:19,3
2012:20,5
2012:21,0
2012:24,12
2012:25,64
2012:26,0
2012:27,0
2012:28,0
2012:30,0
2012:31,0
2012:33,0
2012:34,25
2012:36,82
2012:41,72
2012:42,75
2012:43,0
2012:44,3
2012:46,1
2012:47,1
2012:48,1
2012:50,2
2013:0,2
2013:1,0
2013:2,0
2013:3,0
2013:4,0
2013:5,0
2013:6,9
2013:7,7
2013:8,2
2013:10,0
2013:11,0
2013:12,0
2013:13,2
2013:14,0
2013:15,4
2013:16,0
2013:18,1
2013:19,63
2013:20,5
2013:21,52
2013:22,0
2013:23,0
2013:25,67
2013:27,0
2013:28,42
2013:30,0
2013:31,0
2013:32,4
2013:33,4
2013:34,11
2013:35,5
2013:36,0
2013:37,0
2013:38,8
2013:39,0
2013:40,0
