id,year,topic,top_terms,count,label_llm
2009:C0,2009,0,彼女;下;伝説;聖女;為る;来る;物語;一人;少女;魔術;師;魔法;使い;才能;最強;使う;皇太子;妃;居る;王妃;二;王子;王女;戦国;乱世;王立;忍者;村人;達;敵;有る;死ぬ;主人;創造;神;剣;筈;世界;魔獣;精霊;さん;為;魔物;一;迷宮,10,聖女の伝説と少女
2009:C1,2009,1,仕舞う;妹;為る;姉;無い;巫女;有る;婚約;解消;突然;私-代名詞;日;新婚;生活;絶世;美女;子爵;家;成る;伯爵;養子,3,姉妹の役割と存在
2009:C2,2009,2,ゲーム-game;ライフ-life;舞台;キャラクター-character;ライン-line;魔法;冒険,3,ゲームと人生の冒険
2009:C6,2009,6,日本;人;現代;有る;幽霊;世界,2,現代日本の幽霊観
2009:C8,2009,8,猫;為る;成る;姿,1,猫の存在と変化
2009:C10,2009,10,男;生まれる;貴族;為る;人;中年;男性;出会う,1,男の生涯と出会い
2009:C15,2009,15,!;アニメ-animation;読む;呉れる;?;ヒロイン-heroine;中;作画;勘弁,3,アニメとヒロインの魅力
2009:C29,2009,29,世界;生きる;人生;送る;生活;何;幕,1,世界での生き方
2010:C0,2010,0,女神;呼ぶ;魔王;打つ;領;有る;魔物;達;魔術;才能;マジック-magic;使う;魔力;量;魔法;為る;勇者;人物;集う;パーティー-party;メンバー-member;悪役;令嬢;前世;乙女;ゲーム-game;アナ-announcer;レディー-lady;ヒーロー-hero;中;選ぶ;彼;戦闘;討伐;世界;倒す;軍;不死;成る;呆気ない;死ぬ;不老;筈;覚める;見知る;不思議;少年;異;迷い込む;冒険;王太子;殿下;正妃;結婚;王子;姫;物語;フィクション-fiction;※;知識;魔境;学院;魔;石;特異;美形;クイーン-queen;王;様;貴族;因る;城,25,女神と魔王の戦い
2010:C1,2010,1,夫;愛する;私-代名詞;結婚;再婚;為る;婚約;浮気;恋愛;要素;嫉妬;どう,5,再婚と愛の再定義
2010:C2,2010,2,ゲーム-game;世界;有る;ライン-line;デス-death;為る,14,ゲームの世界と死
2010:C3,2010,3,学校;生活;独り暮らし;為る;高校;中学;卒業;有る;物語,3,高校生活の独り暮らし
2010:C4,2010,4,生きる;足掻く;命;辛々;死ぬ;仕舞う;逃げ出す;ダーク-dark,1,生きることの苦悩
2010:C5,2010,5,世界;暮らす;為る;姉;何;無い;両親;妹;居る;初恋;養子;憧れ;有る;子;自分;結婚,2,家族と世界の関係
2010:C6,2010,6,日本;人;有る;ファンタジー-fantasy;登場;人物;世界;魔術;剣,5,日本のファンタジー世界
2010:C8,2010,8,猫;成る;為る;事件;中;出会う;使い魔;奉公,3,猫と使い魔の出会い
2010:C12,2010,12,少年;物語;夢;希望;居る;日;書籍;生徒;達,1,少年の夢と希望
2010:C16,2010,16,魔物;蠢く;為る;ファンタジー-fantasy;世界;ロボット-robot;中世,1,中世ファンタジーとロボット
2010:C30,2010,30,中世;ヨーロッパ-europa;此の世;去る;世界;俺,1,中世ヨーロッパの世界観
2010:C56,2010,56,男;生まれる;紳士;歩む;彼;未熟;者,1,未熟な男の成長
2010:C57,2010,57,本編;番外;話;為る;内容;出来事;因る;編;此方,5,本編と番外の関係
2011:C0,2011,0,魔女;成る;少女;魔法;当たり前;職;剣;魔術;師;才能;世界;初級;公爵;令嬢;王子;結婚;婚約;令息;家;人;死ぬ;死;戻る;生きる;抜く;度;挽く;魔王;討伐;倒す;為る;軍;聖女;偽;有る;読む;事;皇太子;皇后;二;王太子;魔物;人間;為;迷宮;―;持つ;魔力;一緒;生徒;達;書籍;物語;御;貴族;社会;勇者;因る;殿下;人々;無双;蛮族;出会う;ドラゴン-dragon;竜;魂;転生;中世;ファンタジー-fantasy;神;知る;運命;様;殺す;主;士;私-代名詞;妖精;洞窟;中;大;オカルト-occult;魔獣;文鳥;動物;色々;魔境;使う;後;虹,45,魔女と少女の成長
2011:C2,2011,2,ゲーマー;ゲーム-game;世界;内;デス-death;小説;終わる;酷似;嵌まる;主人;本編,34,ゲームと死の交差点
2011:C3,2011,3,平凡;少女;学園;物語;彼女;学生;生活;少年;達;入学;学校;有る;授業;中;時代;クラス-class;毎,5,平凡な少女の学園生活
2011:C4,2011,4,人生;後悔;為る;無職;童貞;送る;死ぬ;仕舞う,2,人生の後悔と孤独
2011:C5,2011,5,28;歳;容姿;端麗;年下;幼馴染み;居る;一生,1,年下の幼馴染みとの恋
2011:C6,2011,6,現代;日本;元;世界;転移;彼;侵略,9,現代日本の世界転移
2011:C7,2011,7,才能;有る;貰う;スキル-skill;駆使;居る;力;苦難;乗り越える,3,才能とスキルの力
2011:C10,2011,10,男;生まれる;適当;生きる;世界;成り上がる;中年;男性;良い;暮らし,1,中年男性の生き方
2011:C11,2011,11,店員;社員;業;者;就職;アルバイト-arbeit,1,アルバイトと就職の関係
2011:C20,2011,20,為る;妹;キャラ-character;達;脇役;性格;攻略,3,脇役キャラの性格分析
2011:C32,2011,32,宇宙;進出;人類;時代;物語;五千;年;成る;地球,1,人類の宇宙進出の物語
2011:C33,2011,33,蹂躙;為る;サービス-service;終了;ギルド-guild;マスター-master;仲間;達;デッド-dead,1,仲間との絆と喪失
2011:C34,2011,34,有る;作者;小説;主人;都合;本;作品,12,作者の意図と作品
2011:C45,2011,45,叫ぶ;居る;母;何;俺;祖父;様;此処,1,家族の存在と叫び
2011:C69,2011,69,私-代名詞;人生;前世;世界;生まれ変わる;言う,4,私と前世の世界
2011:C74,2011,74,自暴;自棄;転移;者;被害;仕事;疲れる,1,自暴自棄の転移と影響
2012:C0,2012,0,現われる;女神;魔女;巫女;呼ぶ;姫;言う;世界;魔術;魔力;持つ;魔法;師;公爵;令嬢;王子;婚約;家;子爵;一;為る;才能;スキル-skill;有る;選ぶ;居る;使い;魔王;滅ぼす;救国;英雄;王国;王都;嘗て;勇者;自分;死ぬ;成る;王;達;聖女;偽;召喚;王女;結婚;王侯;貴族;妻;娶る;伝説;復活;仄々;ファンタジー-fantasy;ライフ-life;貰う;錬金;術;因る;城;少年;日;冒険;生活;帝国;此れ;前世;秘密;竜;ドラゴン-dragon;古;族;飛ばす;運命;神;信仰;※;書籍;育成;ゼロ-zero;無限;世;珍しい;無し;迷い込む;屈指;ゲーム-game;見知る;異;登,56,女神と魔女の象徴
